slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
farieke01,Kenneth Faried,CENTER,29,HOUSTON ROCKETS,25,13,610,131,223,7,20,54,83,82,124,18,15,19,27,74
favorde01,Derrick Favors,CENTER,27,UTAH JAZZ,76,70,1766,363,619,17,78,154,228,207,353,89,56,106,84,163
feliccr01,Cristiano Felício,CENTER,26,CHICAGO BULLS,60,0,746,95,179,0,4,50,73,79,139,37,11,7,33,69
feltora01,Raymond Felton,POINT GUARD,34,OKLAHOMA CITY THUNDER,33,0,379,55,135,20,61,12,13,4,30,52,10,6,14,29
fergute01,Terrance Ferguson,SHOOTING GUARD,20,OKLAHOMA CITY THUNDER,74,74,1931,185,431,106,290,37,51,33,108,72,40,16,47,231
ferreyo01,Yogi Ferrell,POINT GUARD,25,SACRAMENTO KINGS,71,3,1067,153,352,54,149,60,67,13,96,137,36,4,40,64
finnedo01,Dorian Finney-Smith,SMALL FORWARD,25,DALLAS MAVERICKS,81,26,1985,228,528,79,254,73,103,138,251,95,69,36,74,186
forbebr01,Bryn Forbes,SHOOTING GUARD,25,SAN ANTONIO SPURS,82,81,2293,361,791,176,413,69,78,18,221,175,45,4,80,159
fournev01,Evan Fournier,SHOOTING GUARD,26,ORLANDO MAGIC,81,81,2553,468,1069,153,450,137,170,38,220,295,71,12,154,225
foxde01,De'Aaron Fox,POINT GUARD,21,SACRAMENTO KINGS,81,81,2546,505,1102,86,232,303,417,43,261,590,133,45,227,204
frazime01,Melvin Frazier,SHOOTING GUARD,22,ORLANDO MAGIC,10,0,44,7,21,0,6,1,4,3,2,1,1,0,1,6
fraziti01,Tim Frazier,POINT GUARD,28,NEW ORLEANS PELICANS,47,17,909,88,195,27,77,32,41,32,105,206,25,4,60,93
fraziti01,Tim Frazier,POINT GUARD,28,MILWAUKEE BUCKS,12,2,211,28,66,10,24,9,13,9,22,42,5,1,16,19
fredeji01,Jimmer Fredette,SHOOTING GUARD,29,PHOENIX SUNS,6,0,65,8,29,0,13,6,6,1,6,8,3,0,5,5
fryech01,Channing Frye,CENTER,35,CLEVELAND CAVALIERS,36,6,341,43,117,32,79,11,14,4,48,20,6,5,13,44
fultzma01,Markelle Fultz,SHOOTING GUARD,20,PHILADELPHIA 76ERS,19,15,427,65,155,4,14,21,37,26,44,59,17,5,25,52
gallida01,Danilo Gallinari,SMALL FORWARD,30,LOS ANGELES CLIPPERS,68,68,2059,409,884,161,372,367,406,54,363,178,49,23,99,129
gallola01,Langston Galloway,SHOOTING GUARD,27,DETROIT PISTONS,80,4,1745,228,587,135,380,81,96,49,122,85,37,8,24,135
garrebi01,Billy Garrett,SHOOTING GUARD,24,NEW YORK KNICKS,4,0,63,11,27,0,8,4,4,0,3,7,1,1,2,3
gasolma01,Marc Gasol,CENTER,34,MEMPHIS GRIZZLIES,53,53,1788,303,683,76,221,152,201,56,399,248,60,63,119,147
gasolma01,Marc Gasol,CENTER,34,TORONTO RAPTORS,26,19,648,87,187,23,52,40,52,24,148,101,24,23,36,70
gasolpa01,Pau Gasol,CENTER,38,SAN ANTONIO SPURS,27,6,330,41,88,5,10,27,38,22,105,50,5,14,14,28
gasolpa01,Pau Gasol,CENTER,38,MILWAUKEE BUCKS,3,0,30,1,6,1,3,1,2,0,10,2,0,1,2,1
gayru01,Rudy Gay,POWER FORWARD,32,SAN ANTONIO SPURS,69,51,1842,376,746,74,184,120,147,63,407,182,54,34,114,159
georgpa01,Paul George,SMALL FORWARD,28,OKLAHOMA CITY THUNDER,77,77,2841,707,1614,292,757,453,540,105,523,318,170,34,205,214
gibsota01,Taj Gibson,POWER FORWARD,33,MINNESOTA TIMBERWOLVES,70,57,1686,304,537,11,34,134,177,172,286,84,53,39,73,186
gilesha01,Harry Giles,POWER FORWARD,20,SACRAMENTO KINGS,58,0,820,175,348,0,6,58,91,66,156,85,31,22,73,150
gilgesh01,Shai Gilgeous-Alexander,POINT GUARD,20,LOS ANGELES CLIPPERS,82,73,2174,341,716,51,139,156,195,57,175,270,96,45,141,175
goberru01,Rudy Gobert,CENTER,26,UTAH JAZZ,81,80,2577,476,712,0,0,332,522,309,732,161,66,187,130,231
goodwbr01,Brandon Goodwin,POINT GUARD,23,DENVER NUGGETS,16,0,57,6,23,2,6,9,11,1,2,14,0,0,3,7
gordoaa01,Aaron Gordon,POWER FORWARD,23,ORLANDO MAGIC,78,78,2633,470,1046,121,347,185,253,129,445,289,57,56,162,172
gordoer01,Eric Gordon,SHOOTING GUARD,30,HOUSTON ROCKETS,68,53,2158,384,938,216,600,119,152,17,131,129,41,27,90,143
gortama01,Marcin Gortat,CENTER,34,LOS ANGELES CLIPPERS,47,43,751,99,186,0,0,35,48,67,194,65,6,24,50,92
grahade01,Devonte' Graham,POINT GUARD,23,CHARLOTTE HORNETS,46,3,676,74,216,34,121,35,46,10,53,121,23,2,30,48
grahatr01,Treveon Graham,SHOOTING GUARD,25,BROOKLYN NETS,35,21,715,64,191,38,128,18,22,23,84,34,13,7,17,68
grantje01,Jerami Grant,POWER FORWARD,24,OKLAHOMA CITY THUNDER,80,77,2612,409,823,115,293,157,221,96,321,79,61,100,67,214
grantje02,Jerian Grant,POINT GUARD,26,ORLANDO MAGIC,60,1,939,92,220,40,110,26,40,19,79,156,44,6,51,78
grantdo01,Donte Grantham,SMALL FORWARD,23,OKLAHOMA CITY THUNDER,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
greenda02,Danny Green,SHOOTING GUARD,31,TORONTO RAPTORS,80,80,2216,293,630,198,435,37,44,60,257,126,73,53,75,171
greendr01,Draymond Green,POWER FORWARD,28,GOLDEN STATE WARRIORS,66,66,2065,188,422,47,165,63,91,60,421,454,95,70,169,197
greenge01,Gerald Green,SHOOTING GUARD,33,HOUSTON ROCKETS,73,0,1473,231,578,156,441,57,68,30,152,40,33,27,55,126
greenja01,JaMychal Green,POWER FORWARD,28,MEMPHIS GRIZZLIES,41,4,900,151,312,38,96,63,80,72,180,36,33,26,64,123
greenja01,JaMychal Green,POWER FORWARD,28,LOS ANGELES CLIPPERS,24,2,471,79,164,33,80,17,21,32,125,14,12,8,23,70
greenje02,Jeff Green,POWER FORWARD,32,WASHINGTON WIZARDS,77,44,2097,326,687,111,320,183,206,57,252,137,43,39,101,160
griffbl01,Blake Griffin,POWER FORWARD,29,DETROIT PISTONS,75,75,2622,619,1341,189,522,414,550,100,465,402,52,28,253,199
hamilda02,Daniel Hamilton,SHOOTING GUARD,23,ATLANTA HAWKS,19,3,204,23,60,8,23,3,6,10,37,22,6,1,16,19
hannadu01,Dusty Hannahs,SHOOTING GUARD,25,MEMPHIS GRIZZLIES,2,0,26,3,12,0,5,2,2,0,1,5,1,0,1,1
hardati02,Tim Hardaway,SHOOTING GUARD,26,NEW YORK KNICKS,46,46,1499,282,726,117,337,199,233,26,135,122,42,6,81,106
hardati02,Tim Hardaway,SHOOTING GUARD,26,DALLAS MAVERICKS,19,17,558,108,267,45,140,33,43,7,54,37,12,2,24,35
hardeja01,James Harden,POINT GUARD,29,HOUSTON ROCKETS,78,78,2867,843,1909,378,1028,754,858,66,452,586,158,58,387,244
harklma01,Maurice Harkless,SMALL FORWARD,25,PORTLAND TRAIL BLAZERS,60,53,1415,189,388,33,120,49,73,77,192,74,67,53,45,163
harremo01,Montrezl Harrell,CENTER,25,LOS ANGELES CLIPPERS,82,5,2158,546,888,3,17,266,414,184,351,162,71,110,132,255
harride01,Devin Harris,POINT GUARD,35,DALLAS MAVERICKS,68,2,1071,132,347,62,200,102,134,12,100,122,35,16,56,133
harriga01,Gary Harris,SHOOTING GUARD,24,DENVER NUGGETS,57,48,1639,270,637,82,242,115,144,41,119,127,55,19,68,113
harrijo01,Joe Harris,SHOOTING GUARD,27,BROOKLYN NETS,76,76,2293,374,748,183,386,110,133,52,239,181,38,17,121,182
harrito02,Tobias Harris,POWER FORWARD,26,LOS ANGELES CLIPPERS,55,55,1903,424,855,112,258,192,219,37,395,150,40,24,109,123
harrito02,Tobias Harris,POWER FORWARD,26,PHILADELPHIA 76ERS,27,27,944,187,399,44,135,74,88,32,181,79,11,13,42,61
harrian01,Andrew Harrison,POINT GUARD,24,MEMPHIS GRIZZLIES,1,0,5,1,2,0,1,0,0,0,0,0,0,0,0,1
harrian01,Andrew Harrison,POINT GUARD,24,CLEVELAND CAVALIERS,10,0,144,12,39,3,14,16,16,4,11,17,4,2,10,26
harrian01,Andrew Harrison,POINT GUARD,24,NEW ORLEANS PELICANS,6,0,38,3,12,2,10,1,2,2,3,7,0,0,2,7
harrish01,Shaquille Harrison,POINT GUARD,25,CHICAGO BULLS,73,11,1430,184,426,24,89,82,123,33,189,139,89,30,60,124
hartjo01,Josh Hart,SHOOTING GUARD,23,LOS ANGELES LAKERS,67,22,1715,189,464,92,274,55,80,35,213,93,64,40,58,147
harteis01,Isaiah Hartenstein,POWER FORWARD,20,HOUSTON ROCKETS,28,0,221,20,41,2,6,11,14,21,26,15,7,12,13,56
hasleud01,Udonis Haslem,CENTER,38,MIAMI HEAT,10,1,74,11,33,0,12,3,4,3,24,2,0,0,3,9
haywago01,Gordon Hayward,POWER FORWARD,28,BOSTON CELTICS,72,18,1863,296,635,77,231,156,187,51,271,244,62,23,105,104
hensojo01,John Henson,CENTER,28,MILWAUKEE BUCKS,14,0,188,31,67,11,31,6,10,16,55,14,7,11,12,16
hernaju01,Juan Hernangómez,POWER FORWARD,23,DENVER NUGGETS,70,25,1358,138,314,66,181,66,86,64,201,55,27,24,37,94
hernawi01,Willy Hernangómez,CENTER,24,CHARLOTTE HORNETS,58,3,812,153,295,15,39,100,144,117,194,60,16,20,58,98
hezonma01,Mario Hezonja,SMALL FORWARD,23,NEW YORK KNICKS,58,24,1206,191,464,42,152,87,114,28,211,88,57,8,88,110
hicksis01,Isaiah Hicks,POWER FORWARD,24,NEW YORK KNICKS,3,0,32,4,8,0,0,4,5,2,5,2,1,3,1,5
hieldbu01,Buddy Hield,SHOOTING GUARD,26,SACRAMENTO KINGS,82,82,2615,623,1360,278,651,171,193,106,306,205,58,33,146,202
highsha01,Haywood Highsmith,SMALL FORWARD,22,PHILADELPHIA 76ERS,5,0,40,4,10,1,5,0,2,0,5,2,1,0,1,1
hilarne01,Nenê Hilário,CENTER,36,HOUSTON ROCKETS,42,2,546,60,116,0,3,31,47,34,89,26,18,15,11,87
hillge01,George Hill,POINT GUARD,32,CLEVELAND CAVALIERS,13,13,344,55,107,13,28,17,20,12,15,36,12,1,20,35
hillge01,George Hill,POINT GUARD,32,MILWAUKEE BUCKS,47,0,958,115,269,35,125,53,65,27,94,99,40,7,31,67
hillso01,Solomon Hill,SMALL FORWARD,27,NEW ORLEANS PELICANS,44,15,878,68,178,32,101,23,32,34,99,55,23,10,31,80
holidaa01,Aaron Holiday,POINT GUARD,22,INDIANA PACERS,50,0,646,105,262,43,127,41,50,5,62,87,21,13,40,71
holidjr01,Jrue Holiday,SHOOTING GUARD,28,NEW ORLEANS PELICANS,67,67,2402,547,1159,118,363,208,271,75,259,518,109,54,210,148
holidju01,Justin Holiday,SHOOTING GUARD,29,CHICAGO BULLS,38,38,1325,151,394,97,270,41,46,19,150,85,67,21,47,79
holidju01,Justin Holiday,SHOOTING GUARD,29,MEMPHIS GRIZZLIES,44,39,1282,149,383,65,195,54,60,27,127,61,54,15,57,85
hollajo02,John Holland,SMALL FORWARD,30,CLEVELAND CAVALIERS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
holliro01,Rondae Hollis-Jefferson,SMALL FORWARD,24,BROOKLYN NETS,59,21,1234,200,487,9,49,118,183,83,227,96,44,27,68,107
holmeri01,Richaun Holmes,CENTER,25,PHOENIX SUNS,70,4,1184,222,365,0,0,128,175,115,216,60,42,79,52,194
hoodro01,Rodney Hood,SHOOTING GUARD,26,CLEVELAND CAVALIERS,45,45,1234,194,454,55,152,104,114,18,94,92,38,5,36,101
hoodro01,Rodney Hood,SHOOTING GUARD,26,PORTLAND TRAIL BLAZERS,27,4,659,98,217,29,84,33,41,7,38,34,21,7,19,45
horfoal01,Al Horford,CENTER,32,BOSTON CELTICS,68,68,1973,387,723,73,203,78,95,120,338,283,59,86,102,126
houseda01,Danuel House,SMALL FORWARD,25,HOUSTON ROCKETS,39,13,979,118,252,74,178,56,71,25,115,40,21,11,35,80
howardw01,Dwight Howard,CENTER,33,WASHINGTON WIZARDS,9,9,230,43,69,0,0,29,48,24,59,4,7,4,16,34
huertke01,Kevin Huerter,SHOOTING GUARD,20,ATLANTA HAWKS,75,59,2048,275,657,136,353,41,56,60,185,214,65,25,109,155
humphis01,Isaac Humphries,CENTER,21,ATLANTA HAWKS,5,1,56,6,21,3,11,0,0,4,7,0,1,0,0,7
hunterj01,R.J. Hunter,SHOOTING GUARD,25,BOSTON CELTICS,1,0,26,6,13,4,10,1,2,1,2,3,1,0,0,3
hutchch01,Chandler Hutchison,SMALL FORWARD,22,CHICAGO BULLS,44,14,895,96,209,14,50,23,38,31,154,34,23,6,25,59
ibakase01,Serge Ibaka,CENTER,29,TORONTO RAPTORS,74,51,2010,464,877,49,169,135,177,156,445,99,29,103,114,211
iguodan01,Andre Iguodala,SMALL FORWARD,35,GOLDEN STATE WARRIORS,68,13,1578,151,302,48,144,39,67,48,204,216,61,51,52,95
ilyaser01,Ersan İlyasova,POWER FORWARD,31,MILWAUKEE BUCKS,67,7,1231,167,381,58,160,61,74,94,208,52,32,20,48,172
inglejo01,Joe Ingles,POWER FORWARD,31,UTAH JAZZ,82,82,2568,359,802,189,483,87,123,35,295,469,98,20,193,180
ingraan01,Andre Ingram,SHOOTING GUARD,33,LOS ANGELES LAKERS,4,0,15,0,6,0,3,0,0,1,1,0,1,0,1,0
ingrabr01,Brandon Ingram,SMALL FORWARD,21,LOS ANGELES LAKERS,52,52,1760,362,729,31,94,195,289,41,226,154,28,31,129,149
irvinky01,Kyrie Irving,POINT GUARD,26,BOSTON CELTICS,67,67,2214,604,1241,174,434,214,245,71,264,464,103,34,172,167
isaacjo01,Jonathan Isaac,POWER FORWARD,21,ORLANDO MAGIC,75,64,1996,262,611,86,266,110,135,99,312,80,59,98,75,143
iwundwe01,Wesley Iwundu,SMALL FORWARD,24,ORLANDO MAGIC,68,13,1233,113,274,29,79,84,103,37,147,73,28,22,44,123
jacksde01,Demetrius Jackson,POINT GUARD,24,PHILADELPHIA 76ERS,6,0,39,8,15,2,6,4,4,2,1,5,2,0,1,4
jacksfr01,Frank Jackson,POINT GUARD,20,NEW ORLEANS PELICANS,61,16,1169,194,447,53,169,54,73,25,109,69,25,2,48,92
jacksja02,Jaren Jackson,POWER FORWARD,19,MEMPHIS GRIZZLIES,58,56,1515,298,589,51,142,151,197,73,199,64,52,82,98,220
jacksjo02,Josh Jackson,SHOOTING GUARD,21,PHOENIX SUNS,79,29,1988,347,841,73,225,143,213,66,281,183,74,56,173,209
jacksju01,Justin Jackson,SMALL FORWARD,23,SACRAMENTO KINGS,52,3,1083,125,295,55,159,41,50,25,121,68,23,13,22,67
jacksju01,Justin Jackson,SMALL FORWARD,23,DALLAS MAVERICKS,29,11,531,92,190,32,86,21,29,19,47,28,9,1,7,32
jacksre01,Reggie Jackson,POINT GUARD,28,DETROIT PISTONS,82,82,2289,441,1047,174,471,204,236,45,171,344,55,9,148,208
jamesle01,LeBron James,SMALL FORWARD,34,LOS ANGELES LAKERS,55,55,1937,558,1095,111,327,278,418,57,408,454,72,33,197,94
jeffeam01,Amile Jefferson,POWER FORWARD,25,ORLANDO MAGIC,12,0,68,10,16,0,0,7,8,6,15,3,3,3,1,8
jenkijo01,John Jenkins,SHOOTING GUARD,27,WASHINGTON WIZARDS,4,0,14,2,2,2,2,0,0,0,1,1,0,0,0,0
jenkijo01,John Jenkins,SHOOTING GUARD,27,NEW YORK KNICKS,22,0,319,40,103,20,56,15,18,6,30,21,0,2,9,10
jerebjo01,Jonas Jerebko,POWER FORWARD,31,GOLDEN STATE WARRIORS,73,6,1218,163,355,69,188,64,80,72,216,96,27,18,43,137
johnsal02,Alize Johnson,POWER FORWARD,22,INDIANA PACERS,14,0,64,4,16,1,2,4,8,4,15,1,1,3,0,7
johnsam01,Amir Johnson,CENTER,31,PHILADELPHIA 76ERS,51,6,529,79,157,12,40,31,41,47,100,60,16,13,45,99
johnsbj01,B.J. Johnson,SMALL FORWARD,23,ATLANTA HAWKS,6,0,43,8,16,3,6,2,2,2,6,0,2,0,2,3
johnsbj01,B.J. Johnson,SMALL FORWARD,23,SACRAMENTO KINGS,1,0,6,1,2,0,1,0,0,0,0,0,0,0,0,1
johnsja01,James Johnson,POWER FORWARD,31,MIAMI HEAT,55,33,1164,164,379,50,149,50,70,22,154,135,35,27,74,114
johnsst04,Stanley Johnson,SMALL FORWARD,22,DETROIT PISTONS,48,7,961,133,349,51,181,41,51,25,150,60,48,13,55,92
johnsst04,Stanley Johnson,SMALL FORWARD,22,NEW ORLEANS PELICANS,18,0,247,38,91,11,34,9,13,9,33,28,12,1,26,22
johnsty01,Tyler Johnson,POINT GUARD,26,MIAMI HEAT,44,10,1123,171,401,72,204,61,88,19,102,112,40,21,63,72
johnsty01,Tyler Johnson,POINT GUARD,26,PHOENIX SUNS,13,12,406,46,125,18,56,34,39,15,37,54,14,6,14,25
johnswe01,Wesley Johnson,SMALL FORWARD,31,NEW ORLEANS PELICANS,26,13,377,35,88,19,50,6,9,10,44,16,12,7,12,45
johnswe01,Wesley Johnson,SMALL FORWARD,31,WASHINGTON WIZARDS,12,0,157,10,40,6,26,7,10,2,16,7,2,5,6,18
jokicni01,Nikola Jokić,CENTER,23,DENVER NUGGETS,80,80,2504,616,1206,83,270,289,352,228,637,580,108,55,248,228
jonesda03,Damian Jones,CENTER,23,GOLDEN STATE WARRIORS,24,22,410,53,74,0,0,24,37,31,44,28,12,25,16,63
jonesde02,Derrick Jones,SMALL FORWARD,21,MIAMI HEAT,60,14,1153,160,324,28,91,74,122,96,144,37,46,42,43,123
jonesja04,Jalen Jones,SMALL FORWARD,25,CLEVELAND CAVALIERS,16,0,214,26,62,10,28,19,27,11,23,7,9,2,8,27
jonesje01,Jemerrio Jones,SMALL FORWARD,23,LOS ANGELES LAKERS,6,2,143,12,33,2,10,1,2,16,33,13,7,5,5,10
joneste01,Terrence Jones,POWER FORWARD,27,HOUSTON ROCKETS,2,0,5,1,4,0,2,0,1,0,4,0,0,0,1,1
jonesty01,Tyus Jones,POINT GUARD,22,MINNESOTA TIMBERWOLVES,68,23,1560,185,446,40,126,58,69,23,111,327,81,5,47,78
jordade01,DeAndre Jordan,CENTER,30,DALLAS MAVERICKS,50,50,1554,208,323,0,0,135,198,161,525,99,33,53,111,125
jordade01,DeAndre Jordan,CENTER,30,NEW YORK KNICKS,19,19,493,78,123,0,0,51,66,64,152,57,9,20,42,42
josepco01,Cory Joseph,POINT GUARD,27,INDIANA PACERS,82,9,2063,226,548,55,171,30,43,39,240,321,94,22,80,131
kaminfr01,Frank Kaminsky,CENTER,25,CHARLOTTE HORNETS,47,0,755,138,298,50,139,79,107,39,124,63,12,12,41,68
kanteen01,Enes Kanter,CENTER,26,NEW YORK KNICKS,44,23,1128,251,468,7,22,105,129,171,290,84,18,17,79,106
kanteen01,Enes Kanter,CENTER,26,PORTLAND TRAIL BLAZERS,23,8,512,124,215,3,12,50,68,86,112,32,14,9,39,61
kennalu01,Luke Kennard,SHOOTING GUARD,22,DETROIT PISTONS,63,10,1437,228,520,106,269,51,61,12,171,114,26,10,57,92
kiddgmi01,Michael Kidd-Gilchrist,POWER FORWARD,25,CHARLOTTE HORNETS,64,3,1179,158,332,16,47,95,123,88,158,61,32,39,43,156
kingge03,George King,SMALL FORWARD,25,PHOENIX SUNS,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
klebima01,Maxi Kleber,POWER FORWARD,27,DALLAS MAVERICKS,71,18,1502,175,386,77,218,58,74,90,239,70,36,78,54,143
knighbr03,Brandon Knight,POINT GUARD,27,HOUSTON ROCKETS,12,0,118,11,47,5,32,9,11,1,8,9,2,0,5,14
knighbr03,Brandon Knight,POINT GUARD,27,CLEVELAND CAVALIERS,27,26,618,88,213,36,97,18,23,9,41,62,19,2,25,48
knoxke01,Kevin Knox,POWER FORWARD,19,NEW YORK KNICKS,75,57,2158,338,914,125,364,162,226,61,274,82,43,24,114,175
korkmfu01,Furkan Korkmaz,SHOOTING GUARD,21,PHILADELPHIA 76ERS,48,7,679,98,245,47,144,36,44,16,91,52,29,2,25,62
kornelu01,Luke Kornet,POWER FORWARD,23,NEW YORK KNICKS,46,18,784,107,283,70,193,38,46,28,107,54,27,42,25,41
korveky01,Kyle Korver,POWER FORWARD,37,CLEVELAND CAVALIERS,16,0,251,35,76,25,54,13,16,0,29,17,3,2,17,22
korveky01,Kyle Korver,SHOOTING GUARD,37,UTAH JAZZ,54,0,1083,166,407,113,294,47,57,9,124,64,22,10,42,84
koufoko01,Kosta Koufos,CENTER,29,SACRAMENTO KINGS,42,1,502,73,153,0,0,10,24,52,125,36,15,18,27,68
kurucro01,Rodions Kurucs,SMALL FORWARD,20,BROOKLYN NETS,63,46,1294,202,449,58,184,72,92,56,190,52,41,25,77,146
kuzmaky01,Kyle Kuzma,POWER FORWARD,23,LOS ANGELES LAKERS,70,68,2314,496,1087,128,422,188,250,60,322,178,41,26,133,170
labissk01,Skal Labissière,POWER FORWARD,22,SACRAMENTO KINGS,13,0,113,13,30,4,11,6,11,4,20,6,2,3,7,21
labissk01,Skal Labissière,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,9,1,63,13,19,2,2,3,6,5,14,5,3,3,4,8
lambje01,Jeremy Lamb,SHOOTING GUARD,26,CHARLOTTE HORNETS,79,55,2250,431,979,115,330,231,260,65,369,172,88,32,80,140
lavinza01,Zach LaVine,SHOOTING GUARD,23,CHICAGO BULLS,63,62,2171,530,1135,120,321,312,375,40,254,283,60,26,215,140
laymaja01,Jake Layman,SMALL FORWARD,24,PORTLAND TRAIL BLAZERS,71,33,1327,216,424,59,181,50,71,56,161,53,31,30,46,116
leaftj01,T.J. Leaf,POWER FORWARD,21,INDIANA PACERS,58,1,522,99,183,8,31,19,31,43,82,24,9,19,12,35
leeco01,Courtney Lee,SHOOTING GUARD,33,NEW YORK KNICKS,12,2,160,21,47,5,16,9,14,6,21,16,8,2,5,13
leeco01,Courtney Lee,SHOOTING GUARD,33,DALLAS MAVERICKS,22,4,268,32,82,11,39,5,7,3,24,21,13,1,9,19
leeda03,Damion Lee,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,32,0,375,56,127,27,68,19,22,8,56,13,13,0,11,28
lemonwa01,Walt Lemon,POINT GUARD,26,CHICAGO BULLS,6,3,167,38,87,2,5,8,11,4,23,30,11,1,10,14
lenal01,Alex Len,CENTER,25,ATLANTA HAWKS,77,31,1544,320,648,74,204,140,216,158,266,86,27,69,97,200
leonaka01,Kawhi Leonard,SMALL FORWARD,27,TORONTO RAPTORS,60,60,2040,560,1129,112,302,364,426,78,361,199,106,24,121,87
leoname01,Meyers Leonard,CENTER,26,PORTLAND TRAIL BLAZERS,61,2,878,132,242,50,111,43,51,49,184,75,13,9,43,105
leuerjo01,Jon Leuer,POWER FORWARD,29,DETROIT PISTONS,41,1,402,66,113,1,11,23,31,27,70,14,12,4,23,60
leverca01,Caris LeVert,SMALL FORWARD,24,BROOKLYN NETS,40,25,1063,207,483,48,154,85,123,35,116,156,42,14,69,77
lillada01,Damian Lillard,POINT GUARD,28,PORTLAND TRAIL BLAZERS,80,80,2838,681,1533,237,643,468,513,68,303,551,88,34,212,148
linje01,Jeremy Lin,POINT GUARD,30,ATLANTA HAWKS,51,1,1003,180,386,44,132,142,168,16,103,181,38,7,98,96
linje01,Jeremy Lin,POINT GUARD,30,TORONTO RAPTORS,23,3,433,58,155,11,55,34,42,6,54,50,9,6,26,48
livinsh01,Shaun Livingston,POINT GUARD,33,GOLDEN STATE WARRIORS,64,0,967,109,210,0,2,40,51,42,75,114,31,27,38,74
loftoza01,Zach Lofton,SHOOTING GUARD,26,DETROIT PISTONS,1,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0
looneke01,Kevon Looney,CENTER,22,GOLDEN STATE WARRIORS,80,24,1481,217,347,1,10,65,105,194,223,123,46,53,51,211
lopezbr01,Brook Lopez,CENTER,30,MILWAUKEE BUCKS,81,81,2322,355,786,187,512,112,133,33,363,98,51,179,82,189
lopezro01,Robin Lopez,CENTER,30,CHICAGO BULLS,74,36,1606,304,535,7,31,89,123,140,146,89,11,78,96,124
loveke01,Kevin Love,POWER FORWARD,30,CLEVELAND CAVALIERS,22,21,598,109,283,53,147,103,114,33,206,48,6,5,42,54
lowryky01,Kyle Lowry,POINT GUARD,32,TORONTO RAPTORS,65,65,2213,304,739,157,453,161,194,41,271,564,91,31,182,166
loydjo01,Jordan Loyd,POINT GUARD,25,TORONTO RAPTORS,12,0,55,8,18,4,8,9,11,1,8,6,0,0,2,5
lucaska01,Kalin Lucas,POINT GUARD,29,DETROIT PISTONS,1,0,6,0,1,0,1,2,2,0,3,1,0,0,0,1
luwawti01,Timothé Luwawu-Cabarrot,SMALL FORWARD,23,OKLAHOMA CITY THUNDER,21,1,123,13,43,5,22,4,6,4,14,4,4,1,5,14
luwawti01,Timothé Luwawu-Cabarrot,SMALL FORWARD,23,CHICAGO BULLS,29,6,546,69,175,31,94,27,35,7,72,22,15,7,16,59
lydonty01,Tyler Lydon,POWER FORWARD,22,DENVER NUGGETS,25,0,94,9,18,4,10,1,3,7,11,6,2,0,4,10
lylestr01,Trey Lyles,POWER FORWARD,23,DENVER NUGGETS,64,2,1120,207,495,51,200,81,116,44,202,87,30,23,68,93
machasc01,Scott Machado,POINT GUARD,28,LOS ANGELES LAKERS,4,0,19,4,6,1,1,1,1,0,0,3,1,0,0,2
macksh01,Shelvin Mack,POINT GUARD,28,MEMPHIS GRIZZLIES,53,3,1204,161,389,46,128,53,75,18,84,182,45,4,62,81
macksh01,Shelvin Mack,POINT GUARD,28,CHARLOTTE HORNETS,4,0,42,2,14,0,2,5,9,0,2,1,2,0,4,3
maconda01,Daryl Macon,SHOOTING GUARD,23,DALLAS MAVERICKS,8,0,90,10,27,5,11,4,7,2,10,7,1,0,6,8
macurjp01,J.P. Macura,SHOOTING GUARD,23,CHARLOTTE HORNETS,2,0,17,3,9,0,4,0,0,0,3,2,0,0,0,0
mahinia01,Ian Mahinmi,CENTER,32,WASHINGTON WIZARDS,34,6,498,47,104,3,16,42,61,48,80,25,25,16,21,84
makerth01,Thon Maker,CENTER,21,MILWAUKEE BUCKS,35,0,409,59,134,26,78,20,37,17,79,18,10,18,9,55
makerth01,Thon Maker,POWER FORWARD,21,DETROIT PISTONS,29,5,563,50,134,23,75,36,47,24,82,27,11,33,24,50
marjabo01,Boban Marjanović,CENTER,30,LOS ANGELES CLIPPERS,36,9,376,85,140,0,2,72,95,55,97,22,11,17,37,57
marjabo01,Boban Marjanović,CENTER,30,PHILADELPHIA 76ERS,22,3,305,75,120,4,8,26,36,32,81,32,5,10,22,33
markkla01,Lauri Markkanen,POWER FORWARD,21,CHICAGO BULLS,52,51,1682,342,795,120,332,170,195,74,396,75,37,33,85,122
martija01,Jarell Martin,POWER FORWARD,24,ORLANDO MAGIC,42,1,328,43,104,20,57,9,11,11,62,18,3,8,11,51
masonfr01,Frank Mason,POINT GUARD,24,SACRAMENTO KINGS,38,0,435,71,169,14,64,39,57,6,37,84,16,4,36,34
matenya01,Yante Maten,POWER FORWARD,22,MIAMI HEAT,2,0,13,1,4,0,1,0,0,1,2,0,1,0,0,0
